[Sensor_ID],[loc_x],[loc_y],[loc_z],[n_x],[n_y],[n_z]
TA01_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA01_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA01_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA01_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA02_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA02_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA03_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA03_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA04_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA04_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA05_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA05_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA06_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA06_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA07_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA07_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA08_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA08_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA09_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA09_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S1P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S2P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
TA10_S2R,0.5298,0.5298,-0.0381,0.70710678,0.70710678,0.0
TA10_S3P,0.5298,0.5298,-0.0381,0.0,0.0,1.0
FB01_S1P,-0.45480119,-0.82048301,-0.15645621,-0.48159672,-0.86882341,0.11493707
FB01_S2P,-0.51261392,-0.92477993,-0.077077734,-0.23725735,-0.42802355,0.87206924
FB01_S3P,-0.51261392,-0.92477993,0.077077734,0.23725735,0.42802355,0.87206924
FB01_S4P,-0.45480119,-0.82048301,0.15645621,0.48159672,0.86882341,0.11493707
FB02_S1P,0.11432591,-0.93111013,-0.15645621,0.12106165,-0.98596835,0.11493707
FB02_S2P,0.12885862,-1.0494696,-0.077077734,0.059640703,-0.48573470,0.87206924
FB02_S3P,0.12885862,-1.0494696,0.077077734,-0.059640703,0.48573470,0.87206924
FB02_S4P,0.11432591,-0.93111013,0.15645621,-0.12106165,0.98596835,0.11493707
FB03_S1P,0.63978440,-0.68608484,-0.15645621,0.67747859,-0.72650690,0.11493707
FB03_S2P,0.72111156,-0.77329753,-0.077077734,0.33375803,-0.35791170,0.87206924
FB03_S3P,0.72111156,-0.77329753,0.077077734,-0.33375803,0.35791170,0.87206924
FB03_S4P,0.63978440,-0.68608484,0.15645621,-0.67747859,0.72650690,0.11493707
FB04_S1P,0.92086700,-0.17899846,-0.15645621,0.97512173,-0.18954451,0.11493707
FB04_S2P, 1.0379244,-0.20175211,-0.077077734,0.48039114,-0.093378601,0.87206924
FB04_S3P, 1.0379244,-0.20175211,0.077077734,-0.48039114,0.093378601,0.87206924
FB04_S4P,0.92086700,-0.17899846,0.15645621,-0.97512173,0.18954451,0.11493707
FB05_S1P,0.85020969,0.39645929,-0.15645621,0.90030150,0.41981748,0.11493707
FB05_S2P,0.95828537,0.44685580,-0.077077734,0.44353115,0.20682197,0.87206924
FB05_S3P,0.95828537,0.44685580,0.077077734,-0.44353115,-0.20682197,0.87206924
FB05_S4P,0.85020969,0.39645929,0.15645621,-0.90030150,-0.41981748,0.11493707
FB06_S1P,0.45480117,0.82048302,-0.15645621,0.48159670,0.86882342,0.11493707
FB06_S2P,0.51261390,0.92477994,-0.077077734,0.23725734,0.42802356,0.87206924
FB06_S3P,0.51261390,0.92477994,0.077077734,-0.23725734,-0.42802356,0.87206924
FB06_S4P,0.45480117,0.82048302,0.15645621,-0.48159670,-0.86882342,0.11493707
FB07_S1P,-0.11432594,0.93111013,-0.15645621,-0.12106168,0.98596835,0.11493707
FB07_S2P,-0.12885865, 1.0494696,-0.077077734,-0.059640715,0.48573469,0.87206924
FB07_S3P,-0.12885865, 1.0494696,0.077077734,0.059640715,-0.48573469,0.87206924
FB07_S4P,-0.11432594,0.93111013,0.15645621,0.12106168,-0.98596835,0.11493707
FB08_S1P,-0.63978442,0.68608482,-0.15645621,-0.67747861,0.72650689,0.11493707
FB08_S2P,-0.72111157,0.77329752,-0.077077734,-0.33375804,0.35791169,0.87206924
FB08_S3P,-0.72111157,0.77329752,0.077077734,0.33375804,-0.35791169,0.87206924
FB08_S4P,-0.63978442,0.68608482,0.15645621,0.67747861,-0.72650689,0.11493707
FB09_S1P,-0.92086701,0.17899844,-0.15645621,-0.97512174,0.18954449,0.11493707
FB09_S2P,-1.0379244,0.20175209,-0.077077734,-0.48039114,0.093378590,0.87206924
FB09_S3P,-1.0379244,0.20175209,0.077077734,0.48039114,-0.093378590,0.87206924
FB09_S4P,-0.92086701,0.17899844,0.15645621,0.97512174,-0.18954449,0.11493707
FB10_S1P,-0.85020970,-0.39645927,-0.15645621,-0.90030151,-0.41981746,0.11493707
FB10_S2P,-0.95828538,-0.44685578,-0.077077734,-0.44353115,-0.20682196,0.87206924
FB10_S3P,-0.95828538,-0.44685578,0.077077734,0.44353115,0.20682196,0.87206924
FB10_S4P,-0.85020970,-0.39645927,0.15645621,0.90030151,0.41981746,0.11493707
FB01_S1R,-0.45480119,-0.82048301,-0.15645621,-0.055722603,-0.10052623,-0.99337280
FB01_S2R,-0.51261392,-0.92477993,-0.077077734,-0.42278758,-0.76272893,-0.48938248
FB01_S3R,-0.51261392,-0.92477993,0.077077734,-0.42278758,-0.76272893,0.48938248
FB01_S4R,-0.45480119,-0.82048301,0.15645621,-0.055722603,-0.10052623,0.99337280
FB02_S1R,0.11432591,-0.93111013,-0.15645621,0.014007302,-0.11408035,-0.99337280
FB02_S2R,0.12885862,-1.0494696,-0.077077734,0.10627847,-0.86556897,-0.48938248
FB02_S3R,0.12885862,-1.0494696,0.077077734,0.10627847,-0.86556897,0.48938248
FB02_S4R,0.11432591,-0.93111013,0.15645621,0.014007302,-0.11408035,0.99337280
FB03_S1R,0.63978440,-0.68608484,-0.15645621,0.078386893,-0.084059658,-0.99337280
FB03_S2R,0.72111156,-0.77329753,-0.077077734,0.59474976,-0.63779109,-0.48938248
FB03_S3R,0.72111156,-0.77329753,0.077077734,0.59474976,-0.63779109,0.48938248
FB03_S4R,0.63978440,-0.68608484,0.15645621,0.078386893,-0.084059658,0.99337280
FB04_S1R,0.92086700,-0.17899846,-0.15645621,0.11282536,-0.021931033,-0.99337280
FB04_S2R,1.0379244,-0.20175211,-0.077077734,0.85604686,-0.16639870,-0.48938248
FB04_S3R,1.0379244,-0.20175211,0.077077734,0.85604686,-0.16639870,0.48938248
FB04_S4R,0.92086700,-0.17899846,0.15645621,0.11282536,-0.021931033,0.99337280
FB05_S1R,0.85020969,0.39645929,-0.15645621,0.10416837,0.048574506,-0.99337280
FB05_S2R,0.95828537,0.44685580,-0.077077734,0.79036314,0.36855238,-0.48938248
FB05_S3R,0.95828537,0.44685580,0.077077734,0.79036314,0.36855238,0.48938248
FB05_S4R,0.85020969,0.39645929,0.15645621,0.10416837,0.048574506,0.99337280
FB06_S1R,0.45480117,0.82048302,-0.15645621,0.055722600,0.10052623,-0.99337280
FB06_S2R,0.51261390,0.92477994,-0.077077734,0.42278756,0.76272894,-0.48938248
FB06_S3R,0.51261390,0.92477994,0.077077734,0.42278756,0.76272894,0.48938248
FB06_S4R,0.45480117,0.82048302,0.15645621,0.055722600,0.10052623,0.99337280
FB07_S1R,-0.11432594,0.93111013,-0.15645621,-0.014007304,0.11408035,-0.99337280
FB07_S2R,-0.12885865, 1.0494696,-0.077077734,-0.10627849,0.86556897,-0.48938248
FB07_S3R,-0.12885865, 1.0494696,0.077077734,-0.10627849,0.86556897,0.48938248
FB07_S4R,-0.11432594,0.93111013,0.15645621,-0.014007304,0.11408035,0.99337280
FB08_S1R,-0.63978442,0.68608482,-0.15645621,-0.078386895,0.084059656,-0.99337280
FB08_S2R,-0.72111157,0.77329752,-0.077077734,-0.59474978,0.63779108,-0.48938248
FB08_S3R,-0.72111157,0.77329752,0.077077734,-0.59474978,0.63779108,0.48938248
FB08_S4R,-0.63978442,0.68608482,0.15645621,-0.078386895,0.084059656,0.99337280
FB09_S1R,-0.92086701,0.17899844,-0.15645621,-0.11282536,0.021931030,-0.99337280
FB09_S2R,-1.0379244,0.20175209,-0.077077734,-0.85604687,0.16639868,-0.48938248
FB09_S3R,-1.0379244,0.20175209,0.077077734,-0.85604687,0.16639868,0.48938248
FB09_S4R,-0.92086701,0.17899844,0.15645621,-0.11282536,0.021931030,0.99337280
FB10_S1R,-0.85020970,-0.39645927,-0.15645621,-0.10416837,-0.048574504,-0.99337280
FB10_S2R,-0.95828538,-0.44685578,-0.077077734,-0.79036315,-0.36855236,-0.48938248
FB10_S3R,-0.95828538,-0.44685578,0.077077734,-0.79036315,-0.36855236,0.48938248
FB10_S4R,-0.85020970,-0.39645927,0.15645621,-0.10416837,-0.048574504,0.99337280
PA1_S01P,0.55020193,-0.50416722,-0.015971066,0.074762491,-0.068507207,-0.99484538
PA1_S02P,0.55494835,-0.50851652,-0.047234263,0.22110945,-0.20260950,-0.95397065
PA1_S03P,0.56424453,-0.51703490,-0.076557472,0.35837509,-0.32839030,-0.87391481
PA1_S04P,0.57770866,-0.52937250,-0.10273635,0.48092171,-0.44068359,-0.75796589
PA1_S05P,0.59478774,-0.54502259,-0.12469567,0.58371608,-0.53487728,-0.61088611
PA1_S06P,0.61478030,-0.56334241,-0.14153354,0.66253629,-0.60710271,-0.43871626
PA1_S07P,0.63686524,-0.58357952,-0.15255841,0.71414510,-0.65439348,-0.24852757
PA1_S08P,0.66003645,-0.60481203,-0.15750000,0.73727731,-0.67559024,0.0000000
PA1_S09P,0.68388665,-0.62666671,-0.15731730,0.73642205,-0.67480654,0.048152491
PA1_S10P,0.70715680,-0.64798988,-0.15255759,0.71414124,-0.65438994,0.24854793
PA1_S11P,0.72924156,-0.66822683,-0.14153209,0.66252955,-0.60709653,0.43873510
PA1_S12P,0.74923387,-0.68654641,-0.12469364,0.58370662,-0.53486862,0.61090273
PA1_S13P,0.76631260,-0.70219619,-0.10273383,0.48090999,-0.44067286,0.75797957
PA1_S14P,0.77977632,-0.71453341,-0.076554576,0.35836164,-0.32837797,0.87392497
PA1_S15P,0.78907205,-0.72305138,-0.047231094,0.22109470,-0.20259598,0.95397693
PA1_S16P,0.79381799,-0.72740023,-0.015967765,0.074747117,-0.068493119,0.99484754
PA1_S17P,0.79381922,-0.72740136,0.015951386,-0.074670449,0.068422866,0.99485809
PA1_S18P,0.78907569,-0.72305471,0.047215388,-0.22102118,0.20252861,0.95400822
PA1_S19P,0.77978222,-0.71453882,0.076540179,-0.35829423,0.32831620,0.87397581
PA1_S20P,0.76632052,-0.70220345,0.10272134,-0.48085154,0.44061930,0.75804782
PA1_S21P,0.74924347,-0.68655521,0.12468359,-0.58365956,0.53482549,0.61098540
PA1_S22P,0.72925248,-0.66823684,0.14152486,-0.66249571,0.60706552,0.43882903
PA1_S23P,0.70716856,-0.64800065,0.15255349,-0.71412208,0.65437238,0.24864918
PA1_S24P,0.68389879,-0.62667783,0.15731650,-0.73641836,0.67480315,0.048256915
PA1_S25P,0.66003645,-0.60481203,0.15750000,-0.73727731,0.67559024,0.0000000
PA1_S26P,0.63686524,-0.58357952,0.15255841,-0.71414510,0.65439348,-0.24852757
PA1_S27P,0.61478030,-0.56334241,0.14153354,-0.66253629,0.60710271,-0.43871626
PA1_S28P,0.59478774,-0.54502259,0.12469567,-0.58371608,0.53487728,-0.61088611
PA1_S29P,0.57770866,-0.52937250,0.10273635,-0.48092171,0.44068359,-0.75796589
PA1_S30P,0.56424453,-0.51703490,0.076557472,-0.35837509,0.32839030,-0.87391481
PA1_S31P,0.55494835,-0.50851652,0.047234263,-0.22110945,0.20260950,-0.95397065
PA1_S32P,0.55020193,-0.50416722,0.015971066,-0.074762491,0.068507207,-0.99484538
PA2_S01P,-0.55020194,0.50416721,-0.015971066,-0.074762493,0.068507205,-0.99484538
PA2_S02P,-0.55494837,0.50851651,-0.047234263,-0.22110946,0.20260950,-0.95397065
PA2_S03P,-0.56424455,0.51703489,-0.076557472,-0.35837510,0.32839029,-0.87391481
PA2_S04P,-0.57770867,0.52937249,-0.10273635,-0.48092172,0.44068358,-0.75796589
PA2_S05P,-0.59478775,0.54502258,-0.12469567,-0.58371609,0.53487727,-0.61088611
PA2_S06P,-0.61478032,0.56334239,-0.14153354,-0.66253631,0.60710270,-0.43871626
PA2_S07P,-0.63686525,0.58357951,-0.15255841,-0.71414512,0.65439346,-0.24852757
PA2_S08P,-0.66003647,0.60481201,-0.15750000,-0.73727732,0.67559022,0.0000000
PA2_S09P,-0.68388666,0.62666669,-0.15731730,-0.73642206,0.67480652,0.048152491
PA2_S10P,-0.70715682,0.64798986,-0.15255759,-0.71414126,0.65438992,0.24854793
PA2_S11P,-0.72924157,0.66822681,-0.14153209,-0.66252956,0.60709652,0.43873510
PA2_S12P,-0.74923388,0.68654639,-0.12469364,-0.58370664,0.53486861,0.61090273
PA2_S13P,-0.76631262,0.70219617,-0.10273383,-0.48091000,0.44067284,0.75797957
PA2_S14P,-0.77977634,0.71453339,-0.076554576,-0.35836165,0.32837796,0.87392497
PA2_S15P,-0.78907207,0.72305136,-0.047231094,-0.22109470,0.20259597,0.95397693
PA2_S16P,-0.79381800,0.72740021,-0.015967765,-0.074747118,0.068493117,0.99484754
PA2_S17P,-0.79381923,0.72740134,0.015951386,0.074670450,-0.068422864,0.99485809
PA2_S18P,-0.78907570,0.72305469,0.047215388,0.22102118,-0.20252861,0.95400822
PA2_S19P,-0.77978224,0.71453880,0.076540179,0.35829424,-0.32831619,0.87397581
PA2_S20P,-0.76632054,0.70220343,0.10272134,0.48085156,-0.44061929,0.75804782
PA2_S21P,-0.74924349,0.68655519,0.12468359,0.58365957,-0.53482548,0.61098540
PA2_S22P,-0.72925249,0.66823682,0.14152486,0.66249573,-0.60706551,0.43882903
PA2_S23P,-0.70716857,0.64800063,0.15255349,0.71412210,-0.65437236,0.24864918
PA2_S24P,-0.68389880,0.62667782,0.15731650,0.73641837,-0.67480314,0.048256915
PA2_S25P,-0.66003647,0.60481201,0.15750000,0.73727732,-0.67559022,0.0000000
PA2_S26P,-0.63686525,0.58357951,0.15255841,0.71414512,-0.65439346,-0.24852757
PA2_S27P,-0.61478032,0.56334239,0.14153354,0.66253631,-0.60710270,-0.43871626
PA2_S28P,-0.59478775,0.54502258,0.12469567,0.58371609,-0.53487727,-0.61088611
PA2_S29P,-0.57770867,0.52937249,0.10273635,0.48092172,-0.44068358,-0.75796589
PA2_S30P,-0.56424455,0.51703489,0.076557472,0.35837510,-0.32839029,-0.87391481
PA2_S31P,-0.55494837,0.50851651,0.047234263,0.22110946,-0.20260950,-0.95397065
PA2_S32P,-0.55020194,0.50416721,0.015971066,0.074762493,-0.068507205,-0.99484538
PA1_S01R,0.55020193,-0.50416722,-0.015971066,-0.73347692,0.67210783,-0.10140349
PA1_S03R,0.56424453,-0.51703490,-0.076557472,-0.64431756,0.59040832,-0.48607911
PA1_S05R,0.59478774,-0.54502259,-0.12469567,-0.45039246,0.41270869,-0.79171849
PA1_S07R,0.63686524,-0.58357952,-0.15255841,-0.18323374,0.16790280,-0.96862482
PA1_S09R,0.68388665,-0.62666671,-0.15731730,0.035501739,-0.032531353,-0.99883997
PA1_S11R,0.72924156,-0.66822683,-0.14153209,0.32346943,-0.29640515,-0.89861649
PA1_S13R,0.76631260,-0.70219619,-0.10273383,0.55884114,-0.51208360,-0.65227830
PA1_S15R,0.78907205,-0.72305138,-0.047231094,0.70334554,-0.64449750,-0.29987997
PA1_S17R,0.79381922,-0.72740136,0.015951386,0.73348629,-0.67211641,0.10127865
PA1_S19R,0.77978222,-0.71453882,0.076540179,0.64436253,-0.59044953,0.48596942
PA1_S21R,0.74924347,-0.68655521,0.12468359,0.45046567,-0.41277577,0.79164183
PA1_S23R,0.70716856,-0.64800065,0.15255349,0.18332340,-0.16798496,0.96859360
PA1_S25R,0.66003645,-0.60481203,0.15750000,-0.0000000,-0.0000000,1.0000000
PA1_S27R,0.61478030,-0.56334241,0.14153354,-0.32345554,0.29639242,0.89862564
PA1_S29R,0.57770866,-0.52937250,0.10273635,-0.55883105,0.51207435,0.65229419
PA1_S31R,0.55494835,-0.50851652,0.047234263,-0.70334091,0.64449326,0.29989998
PA2_S01R,-0.55020194,0.50416721,-0.015971066,0.73347694,-0.67210781,-0.10140349
PA2_S03R,-0.56424455,0.51703489,-0.076557472,0.64431758,-0.59040830,-0.48607911
PA2_S05R,-0.59478775,0.54502258,-0.12469567,0.45039247,-0.41270868,-0.79171849
PA2_S07R,-0.63686525,0.58357951,-0.15255841,0.18323374,-0.16790280,-0.96862482
PA2_S09R,-0.68388666,0.62666669,-0.15731730,-0.035501740,0.032531352,-0.99883997
PA2_S11R,-0.72924157,0.66822681,-0.14153209,-0.32346944,0.29640514,-0.89861649
PA2_S13R,-0.76631262,0.70219617,-0.10273383,-0.55884115,0.51208359,-0.65227830
PA2_S15R,-0.78907207,0.72305136,-0.047231094,-0.70334556,0.64449748,-0.29987997
PA2_S17R,-0.79381923,0.72740134,0.015951386,-0.73348631,0.67211639,0.10127865
PA2_S19R,-0.77978224,0.71453880,0.076540179,-0.64436255,0.59044951,0.48596942
PA2_S21R,-0.74924349,0.68655519,0.12468359,-0.45046568,0.41277576,0.79164183
PA2_S23R,-0.70716857,0.64800063,0.15255349,-0.18332340,0.16798495,0.96859360
PA2_S25R,-0.66003647,0.60481201,0.15750000,-0.0000000,-0.0000000,1.0000000
PA2_S27R,-0.61478032,0.56334239,0.14153354,0.32345555,-0.29639241,0.89862564
PA2_S29R,-0.57770867,0.52937249,0.10273635,0.55883106,-0.51207434,0.65229419
PA2_S31R,-0.55494837,0.50851651,0.047234263,0.70334093,-0.64449324,0.29989998
